gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Osteoprogenitors	Chondrocytes	Muscle progenitors	Limb bud mesoderm	Myotome	Dermomyotome	Cardiomyocytes	Endothelial cells	Lateral plate mesoderm	Stromal cells	Hind limb lateral plate mesoderm	Intermediate mesoderm	Cartilage precursors	Myocytes	Limb bud mesenchyme	Apical ectodermal ridge	Branchial arch mesenchyme	Vascular smooth muscle	Mesoderm	Mesenchymal progenitors	Osteoblasts
ACVRL1	P37023	True	ACVL1_HUMAN	ACVL1_BMPR2	CPI-CS0A97B38B6	0.008	0.009	0.005	0.001	0.011	0.004	0.013	0.168	0.0	0.008	0.021	0.004	0.016	0.076	0.005	0.0	0.0	0.029	0.0	0.0	0.0
ACVRL1	P37023	True	ACVL1_HUMAN	ACVL1_BMPR2	CPI-CS0157F2E34	0.008	0.009	0.005	0.001	0.011	0.004	0.013	0.168	0.0	0.008	0.021	0.004	0.016	0.076	0.005	0.0	0.0	0.029	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVL1_BMPR2	CPI-CS0A97B38B6	0.008	0.009	0.005	0.001	0.011	0.004	0.013	0.168	0.0	0.008	0.021	0.004	0.016	0.076	0.005	0.0	0.0	0.029	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVL1_BMPR2	CPI-CS0157F2E34	0.008	0.009	0.005	0.001	0.011	0.004	0.013	0.168	0.0	0.008	0.021	0.004	0.016	0.076	0.005	0.0	0.0	0.029	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.565	0.414	0.363	0.379	0.287	0.294	0.241	0.326	0.425	0.384	0.282	0.422	0.324	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.565	0.414	0.363	0.379	0.287	0.294	0.241	0.326	0.425	0.384	0.282	0.422	0.324	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.565	0.414	0.363	0.379	0.287	0.294	0.241	0.326	0.425	0.384	0.282	0.422	0.324	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.565	0.414	0.363	0.379	0.287	0.294	0.241	0.326	0.425	0.384	0.282	0.422	0.324	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	1.024	0.711	0.935	0.95	0.833	0.903	0.909	0.41	0.896	1.187	0.619	1.036	0.932	0.846	0.991	0.956	1.016	1.14	0.604	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS046BCFC6F	1.024	0.711	0.935	0.95	0.833	0.903	0.909	0.41	0.896	1.187	0.619	1.036	0.932	0.846	0.991	0.956	1.016	1.14	0.604	0.0	0.0
