gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Chondrocytes	Mesenchymal progenitors	Cardiomyocytes	Muscle progenitors	Intermediate mesoderm	Myocytes	Stromal cells	Perichondrium	Endothelial cells	Limb bud mesenchyme	Branchial arch mesenchyme	Cartilage precursors	Vascular smooth muscle	Mesoderm	Lateral plate mesoderm	Osteoprogenitors	Osteoblasts	Apical ectodermal ridge	Hind limb lateral plate mesoderm	Periosteum	Dermomyotome	Myotome	Limb bud mesoderm
ACVRL1	P37023	True	ACVL1_HUMAN	ACVL1_BMPR2	CPI-CS0A97B38B6	0.008	0.003	0.029	0.0	0.021	0.0	0.009	0.014	0.113	0.005	0.0	0.002	0.041	0.014	0.007	0.029	0.004	0.0	0.0	0.029	0.0	0.0	0.0
ACVRL1	P37023	True	ACVL1_HUMAN	ACVL1_BMPR2	CPI-CS0157F2E34	0.008	0.003	0.029	0.0	0.021	0.0	0.009	0.014	0.113	0.005	0.0	0.002	0.041	0.014	0.007	0.029	0.004	0.0	0.0	0.029	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVL1_BMPR2	CPI-CS0A97B38B6	0.008	0.003	0.029	0.0	0.021	0.0	0.009	0.014	0.113	0.005	0.0	0.002	0.041	0.014	0.007	0.029	0.004	0.0	0.0	0.029	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVL1_BMPR2	CPI-CS0157F2E34	0.008	0.003	0.029	0.0	0.021	0.0	0.009	0.014	0.113	0.005	0.0	0.002	0.041	0.014	0.007	0.029	0.004	0.0	0.0	0.029	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.227	0.278	0.253	0.221	0.311	0.249	0.238	0.389	0.366	0.241	0.261	0.224	0.261	0.258	0.238	0.223	0.3	0.0	0.238	0.29	0.076	0.0	0.218
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.227	0.278	0.253	0.221	0.311	0.249	0.238	0.389	0.366	0.241	0.261	0.224	0.261	0.258	0.238	0.223	0.3	0.0	0.238	0.29	0.076	0.0	0.218
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.227	0.278	0.253	0.221	0.311	0.249	0.238	0.389	0.366	0.241	0.261	0.224	0.261	0.258	0.238	0.223	0.3	0.0	0.238	0.29	0.076	0.0	0.218
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.227	0.278	0.253	0.221	0.311	0.249	0.238	0.389	0.366	0.241	0.261	0.224	0.261	0.258	0.238	0.223	0.3	0.0	0.238	0.29	0.076	0.0	0.218
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.528	0.578	0.567	0.749	0.735	0.664	0.601	0.661	0.145	0.523	0.574	0.615	0.528	0.638	0.493	0.541	0.573	0.381	0.222	0.558	0.498	0.452	0.325
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS046BCFC6F	0.528	0.578	0.567	0.749	0.735	0.664	0.601	0.661	0.145	0.523	0.574	0.615	0.528	0.638	0.493	0.541	0.573	0.381	0.222	0.558	0.498	0.452	0.325
