gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Cartilage precursors	Chondrocytes	Perichondrium	Stromal cells	Cardiomyocytes	Muscle progenitors	Mesoderm	Mesenchymal progenitors	Lateral plate mesoderm	Limb bud mesoderm	Limb bud mesenchyme	Myocytes	Branchial arch mesenchyme	Intermediate mesoderm	Osteoblasts	Dermomyotome	Vascular smooth muscle	Osteoprogenitors	Endothelial cells	Apical ectodermal ridge	Hind limb lateral plate mesoderm	Myotome	Periosteum
ACVRL1	P37023	True	ACVL1_HUMAN	ACVL1_BMPR2	CPI-CS0A97B38B6	0.003	0.005	0.004	0.009	0.016	0.002	0.0	0.004	0.0	0.0	0.009	0.001	0.019	0.0	0.005	0.0	0.064	0.0	0.134	0.0	0.039	0.0	0.0
ACVRL1	P37023	True	ACVL1_HUMAN	ACVL1_BMPR2	CPI-CS0157F2E34	0.003	0.005	0.004	0.009	0.016	0.002	0.0	0.004	0.0	0.0	0.009	0.001	0.019	0.0	0.005	0.0	0.064	0.0	0.134	0.0	0.039	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVL1_BMPR2	CPI-CS0A97B38B6	0.003	0.005	0.004	0.009	0.016	0.002	0.0	0.004	0.0	0.0	0.009	0.001	0.019	0.0	0.005	0.0	0.064	0.0	0.134	0.0	0.039	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVL1_BMPR2	CPI-CS0157F2E34	0.003	0.005	0.004	0.009	0.016	0.002	0.0	0.004	0.0	0.0	0.009	0.001	0.019	0.0	0.005	0.0	0.064	0.0	0.134	0.0	0.039	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.211	0.237	0.397	0.269	0.275	0.243	0.311	0.276	0.339	0.302	0.247	0.223	0.229	0.359	0.272	0.264	0.22	0.277	0.398	0.373	0.227	0.175	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.211	0.237	0.397	0.269	0.275	0.243	0.311	0.276	0.339	0.302	0.247	0.223	0.229	0.359	0.272	0.264	0.22	0.277	0.398	0.373	0.227	0.175	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.211	0.237	0.397	0.269	0.275	0.243	0.311	0.276	0.339	0.302	0.247	0.223	0.229	0.359	0.272	0.264	0.22	0.277	0.398	0.373	0.227	0.175	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.211	0.237	0.397	0.269	0.275	0.243	0.311	0.276	0.339	0.302	0.247	0.223	0.229	0.359	0.272	0.264	0.22	0.277	0.398	0.373	0.227	0.175	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.653	0.564	0.68	0.692	0.702	0.845	0.725	0.63	0.702	0.711	0.749	0.78	0.611	0.72	0.64	0.836	0.452	0.647	0.231	0.539	0.306	0.539	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS046BCFC6F	0.653	0.564	0.68	0.692	0.702	0.845	0.725	0.63	0.702	0.711	0.749	0.78	0.611	0.72	0.64	0.836	0.452	0.647	0.231	0.539	0.306	0.539	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.653	0.564	0.68	0.692	0.702	0.845	0.725	0.63	0.702	0.711	0.749	0.78	0.611	0.72	0.64	0.836	0.452	0.647	0.231	0.539	0.306	0.539	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS090FFEDFE	0.653	0.564	0.68	0.692	0.702	0.845	0.725	0.63	0.702	0.711	0.749	0.78	0.611	0.72	0.64	0.836	0.452	0.647	0.231	0.539	0.306	0.539	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	0.653	0.564	0.68	0.692	0.702	0.845	0.725	0.63	0.702	0.711	0.749	0.78	0.611	0.72	0.64	0.836	0.452	0.647	0.231	0.539	0.306	0.539	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E54FF657	0.653	0.564	0.68	0.692	0.702	0.845	0.725	0.63	0.702	0.711	0.749	0.78	0.611	0.72	0.64	0.836	0.452	0.647	0.231	0.539	0.306	0.539	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS09CECD20D	0.653	0.564	0.68	0.692	0.702	0.845	0.725	0.63	0.702	0.711	0.749	0.78	0.611	0.72	0.64	0.836	0.452	0.647	0.231	0.539	0.306	0.539	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0B9A4CA4D	0.653	0.564	0.68	0.692	0.702	0.845	0.725	0.63	0.702	0.711	0.749	0.78	0.611	0.72	0.64	0.836	0.452	0.647	0.231	0.539	0.306	0.539	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS08109C435	0.581	0.289	0.384	0.606	0.482	0.852	0.381	0.635	0.702	0.439	0.357	0.906	0.357	0.364	0.154	0.998	0.288	0.647	0.269	0.137	0.125	0.831	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS02C93975C	0.581	0.289	0.384	0.606	0.482	0.852	0.381	0.635	0.702	0.439	0.357	0.906	0.357	0.364	0.154	0.998	0.288	0.647	0.269	0.137	0.125	0.831	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0EF793D6A	0.581	0.289	0.384	0.606	0.482	0.852	0.381	0.635	0.702	0.439	0.357	0.906	0.357	0.364	0.154	0.998	0.288	0.647	0.269	0.137	0.125	0.831	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0484364A2	0.581	0.289	0.384	0.606	0.482	0.852	0.381	0.635	0.702	0.439	0.357	0.906	0.357	0.364	0.154	0.998	0.288	0.647	0.269	0.137	0.125	0.831	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS028ACED72	0.581	0.289	0.384	0.606	0.482	0.852	0.381	0.635	0.702	0.439	0.357	0.906	0.357	0.364	0.154	0.998	0.288	0.647	0.269	0.137	0.125	0.831	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0107C51C6	0.581	0.289	0.384	0.606	0.482	0.852	0.381	0.635	0.702	0.439	0.357	0.906	0.357	0.364	0.154	0.998	0.288	0.647	0.269	0.137	0.125	0.831	0.368
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0700FDD27	0.581	0.289	0.384	0.606	0.482	0.852	0.381	0.635	0.702	0.439	0.357	0.906	0.357	0.364	0.154	0.998	0.288	0.647	0.269	0.137	0.125	0.831	0.368
